ligand,file,geometries,conformers,donor_element,donor_index,substituents,sterimol_l,sterimol_b1,sterimol_b5,percent_buried_volume,buried_volume,qvbur_min,qvbur_max,max_delta_qvbur,max_delta_qvbur_min,pyr_p,pyr_alpha
200,.stericx/kraken_dft_cache/200/35491.sdf,6,6,P,6,C C C,7.8882,3.0603,7.8207,36.9170,66.3008,12.9381,20.1822,6.9469,2.8557,0.8939,22.7943
201,.stericx/kraken_dft_cache/201/35497.sdf,10,10,P,4,C C C,7.8954,3.4315,7.8676,37.8557,67.9866,13.9416,19.6472,5.1752,2.8324,0.9031,21.7025
202,.stericx/kraken_dft_cache/202/35507.sdf,8,8,P,6,C C C,7.3100,2.6828,7.8076,32.9845,59.2383,11.3106,18.3974,6.7896,2.7508,0.8997,22.1615
203,.stericx/kraken_dft_cache/203/35515.sdf,3,3,P,0,C C C,6.9570,2.7412,6.7521,35.5335,63.8161,11.5277,27.3798,15.0594,15.0478,0.8924,23.1144
204,.stericx/kraken_dft_cache/204/35518.sdf,5,5,P,8,C C C,6.9507,3.0336,6.7948,40.7321,73.1525,12.0872,24.4634,9.3853,9.3714,0.8398,28.5143
205,.stericx/kraken_dft_cache/205/35523.sdf,2,2,P,6,C C C,5.6022,2.2707,6.8185,26.9535,48.4070,9.5928,15.8113,4.4234,4.4176,0.9498,14.9159
2059,.stericx/kraken_dft_cache/2059/64827.sdf,4,4,P,12,N O O,4.5729,2.8461,9.4877,28.0001,50.2865,9.9891,15.7850,5.7959,5.7930,0.9294,17.3642
206,.stericx/kraken_dft_cache/206/35525.sdf,5,5,P,14,C C C,7.0014,1.8934,7.0335,32.8790,59.0489,9.6628,16.6563,6.7604,6.7604,0.9392,16.4561
2062,.stericx/kraken_dft_cache/2062/64936.sdf,23,23,P,25,O N O,8.0967,3.9380,9.5233,42.2889,75.9484,10.1797,32.1967,19.9220,7.1218,0.9255,18.2355
2063,.stericx/kraken_dft_cache/2063/64959.sdf,12,12,P,6,N O O,6.0142,2.8289,9.4878,26.2602,47.1618,9.4112,16.2318,6.8041,6.1427,0.9320,17.1131
2064,.stericx/kraken_dft_cache/2064/64971.sdf,13,13,P,10,N O O,6.7412,2.9528,8.6295,28.7668,51.6635,9.5310,19.8115,10.2178,6.5739,0.9349,16.9691
2067,.stericx/kraken_dft_cache/2067/65036.sdf,39,39,P,17,N O O,7.4221,3.7006,9.2655,36.9896,66.4313,10.2097,28.9859,18.0209,9.5229,0.9192,18.8069
207,.stericx/kraken_dft_cache/207/35530.sdf,2,2,P,3,C C C,5.5867,1.7000,6.7637,25.5354,45.8602,9.6045,16.7379,7.0052,7.0052,0.9342,17.0362
208,.stericx/kraken_dft_cache/208/35532.sdf,2,2,P,4,C C C,6.9009,1.8220,6.8966,26.2656,47.1715,9.4413,15.8987,5.0936,5.0936,0.9571,13.6035
209,.stericx/kraken_dft_cache/209/35534.sdf,10,10,P,12,C C C,6.9070,1.7614,6.9013,27.9180,50.1391,9.4133,17.3347,6.2278,3.3569,0.9624,12.5638
21,.stericx/kraken_dft_cache/21/31992.sdf,10,10,P,0,C C C,4.7709,2.1838,5.0659,25.9930,46.6820,9.8737,13.8682,3.6623,1.3171,0.9399,16.8238
210,.stericx/kraken_dft_cache/210/35544.sdf,2,2,P,4,C C C,6.9080,1.7722,6.9010,27.6025,49.5726,9.4529,15.9336,4.4176,4.4176,0.9552,13.9246
211,.stericx/kraken_dft_cache/211/35546.sdf,1,1,P,13,C C C,6.9563,2.7809,6.9564,26.0903,46.8568,10.8400,12.5884,1.7484,1.7484,0.9930,5.5890
212,.stericx/kraken_dft_cache/212/35547.sdf,6,6,P,10,C C C,6.9598,2.7476,7.1270,35.9910,64.6379,11.2441,25.7887,13.8453,3.8814,0.9168,19.9636
213,.stericx/kraken_dft_cache/213/35553.sdf,31,31,P,4,C C C,6.9929,4.1002,7.5348,47.1247,84.6332,13.3957,33.6589,19.2398,4.0446,0.9263,18.7024
214,.stericx/kraken_dft_cache/214/35584.sdf,7,7,P,4,C C C,6.9965,4.2558,7.3540,49.5253,88.9446,15.7039,35.9635,19.2522,14.2785,0.8545,27.0116
215,.stericx/kraken_dft_cache/215/35591.sdf,8,8,P,18,C C C,6.9351,4.0093,7.3933,54.8368,98.4838,14.9953,36.0357,18.8709,6.5506,0.8470,27.7275
216,.stericx/kraken_dft_cache/216/35599.sdf,1,1,P,0,C C C,9.1906,3.4732,5.1151,35.2155,63.2450,13.5442,18.2182,4.6740,4.6740,0.8556,26.9487
217,.stericx/kraken_dft_cache/217/35600.sdf,22,22,P,16,C C C,7.0439,2.0190,9.0580,25.9263,46.5622,9.6786,15.2041,5.2542,2.4128,0.9499,14.9958
218,.stericx/kraken_dft_cache/218/35622.sdf,26,26,P,14,C C C,6.9648,2.1089,7.7078,26.8033,48.1371,9.7560,15.8095,5.7065,2.4477,0.9560,14.0702
219,.stericx/kraken_dft_cache/219/35648.sdf,9,9,P,4,C C C,6.9614,2.4197,6.8268,27.3840,49.1802,10.8957,14.3899,3.2326,2.8440,0.9319,18.0810
22,.stericx/kraken_dft_cache/22/32002.sdf,1,1,P,1,C C C,3.5678,1.7405,3.6892,22.1443,39.7700,9.5928,10.2922,0.6994,0.6994,0.9596,13.7714
220,.stericx/kraken_dft_cache/220/35657.sdf,11,11,P,5,C C C,7.4025,2.3934,6.9069,27.1299,48.7239,10.5062,14.0168,2.1807,2.0398,0.9423,16.5457
221,.stericx/kraken_dft_cache/221/35668.sdf,19,19,P,4,C C C,6.6089,2.5716,6.6419,28.2177,50.6775,10.9584,14.0478,2.1698,1.5386,0.9371,17.3108
222,.stericx/kraken_dft_cache/222/35687.sdf,23,23,P,4,C C C,6.9631,2.2652,9.2367,29.9418,53.7738,10.4625,17.2285,6.1087,3.1238,0.9395,16.8840
223,.stericx/kraken_dft_cache/223/35710.sdf,11,11,P,3,C C C,8.8305,2.5004,5.0799,30.1809,54.2032,10.6291,15.9273,4.9951,3.2520,0.9033,21.6217
224,.stericx/kraken_dft_cache/224/35721.sdf,12,12,P,4,C C C,6.9592,2.7132,6.8164,27.4187,49.2424,10.4874,14.8710,4.1738,3.9280,0.9331,17.8811
225,.stericx/kraken_dft_cache/225/35733.sdf,12,12,P,4,C C C,6.9702,2.0148,5.7237,24.6171,44.2109,9.6501,13.8084,3.9873,1.5036,0.9472,15.7036
226,.stericx/kraken_dft_cache/226/35745.sdf,8,8,P,10,C C C,6.9644,3.0958,5.3864,34.2695,61.5462,13.3140,17.0322,3.5886,1.9815,0.8851,23.8938
227,.stericx/kraken_dft_cache/227/35753.sdf,4,4,P,7,C C C,6.9632,2.6939,6.7859,34.4026,61.7851,11.1227,20.5931,9.3597,7.7162,0.9108,20.8103
228,.stericx/kraken_dft_cache/228/35757.sdf,44,44,P,6,C C C,7.3043,2.9262,7.3003,38.0046,68.2541,10.3886,25.0287,13.6764,1.3288,0.9655,12.3599
229,.stericx/kraken_dft_cache/229/35801.sdf,15,15,P,8,C C C,6.9597,3.4517,6.8120,32.8496,58.9960,10.9527,17.9602,6.9089,5.8979,0.9296,18.3608
23,.stericx/kraken_dft_cache/23/32003.sdf,9,9,P,12,C C C,7.3797,2.7583,8.6784,29.7248,53.3841,11.0278,16.0761,4.8786,3.9397,0.9193,19.7349
230,.stericx/kraken_dft_cache/230/35816.sdf,10,10,P,5,C C C,7.4693,2.5690,6.8744,28.3217,50.8641,11.4251,14.2260,1.6901,1.5969,0.9335,17.8693
231,.stericx/kraken_dft_cache/231/35826.sdf,9,9,P,6,C C C,9.0651,2.6459,8.9462,28.3280,50.8755,11.3438,14.1671,1.8883,1.7600,0.9316,18.1437
232,.stericx/kraken_dft_cache/232/35835.sdf,2,2,P,7,C C C,7.6586,3.8566,7.9528,28.1802,50.6100,11.4869,13.8589,1.3404,1.3171,0.9388,17.1010
233,.stericx/kraken_dft_cache/233/35837.sdf,17,17,P,6,C C C,6.9664,2.6487,7.1964,28.2676,50.7670,11.5160,13.9254,1.3740,1.2822,0.9349,17.6786
234,.stericx/kraken_dft_cache/234/35854.sdf,1,1,P,0,C C C,6.9464,2.6870,7.4435,33.3788,59.9464,10.5836,21.1438,10.5603,10.5603,0.9227,19.2763
235,.stericx/kraken_dft_cache/235/35855.sdf,19,19,P,5,C C C,6.0758,4.0385,6.9507,56.2514,101.0243,23.2075,26.7749,3.3600,1.2588,0.9616,13.2620
236,.stericx/kraken_dft_cache/236/35874.sdf,9,9,P,4,C C C,6.4318,2.5678,6.4702,28.3114,50.8457,11.1456,14.2267,1.9970,1.5036,0.9398,16.9081
237,.stericx/kraken_dft_cache/237/35883.sdf,43,43,P,26,C C C,7.2305,3.6916,8.0818,47.9813,86.1716,11.5938,33.1107,17.6606,4.7090,0.9049,21.3171
238,.stericx/kraken_dft_cache/238/35926.sdf,38,38,P,5,O C C,5.8332,2.8223,6.8907,28.9901,52.0645,10.1367,16.9403,6.5184,4.2311,0.9492,15.3049
239,.stericx/kraken_dft_cache/239/35964.sdf,58,58,P,0,C C C,8.6397,3.3127,9.6444,44.5594,80.0261,13.2697,27.9503,13.0010,1.3404,0.9539,14.6825
24,.stericx/kraken_dft_cache/24/32012.sdf,25,25,P,18,C C C,7.0062,2.8847,7.1060,41.3375,74.2398,10.9813,29.5916,15.4045,2.5643,0.9090,20.8371
240,.stericx/kraken_dft_cache/240/36022.sdf,25,25,P,8,C C C,9.5192,2.8846,9.3919,28.0776,50.4258,10.9472,14.0044,2.0626,1.5502,0.9429,16.4601
241,.stericx/kraken_dft_cache/241/36047.sdf,36,36,P,3,C C C,6.9761,2.6547,5.7899,30.8245,55.3591,10.2468,18.1029,7.2312,2.4011,0.9413,16.6073
