split_id,stratum,permutation,ranking,top1_recovery,top2_recall,rank_of_best,spearman_rho,ndcg,candidate_mean_ddg,selected_top1_ddg,selected_top2_mean_ddg,top1_gain_over_panel_mean,top2_gain_over_panel_mean,top1_outcome_enrichment,top2_outcome_enrichment
S011,three_singleton_scaffolds,5,SIG-NIHDA-2067|SIG-NIHDA-401|SIG-NIHDA-724,0.0,0.5,3,-0.5,0.6379052942020822,0.8884538913333332,0.465439555,0.2608031235,-0.4230143363333332,-0.6276507678333332,0.5238758696880701,0.29354716777547546
S011,three_singleton_scaffolds,6,SIG-NIHDA-2067|SIG-NIHDA-724|SIG-NIHDA-401,0.0,1.0,2,0.5,0.7487662359732185,0.8884538913333334,0.465439555,1.304597491,-0.4230143363333334,0.4161435996666666,0.5238758696880699,1.4683907670685594
S012,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-785|SIG-NIHDA-2062,0.0,0.5,2,-0.5,0.6830893375290105,0.5210935866666666,0.056166692,0.6098801699999999,-0.4649268946666666,0.08878658333333334,0.10778618934707544,1.1703851008823265
S012,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2062|SIG-NIHDA-785,0.0,0.5,3,-1.0,0.6068532544236053,0.5210935866666667,0.056166692,0.199843556,-0.4649268946666667,-0.3212500306666667,0.10778618934707543,0.3835079937912112
S012,three_singleton_scaffolds,3,SIG-NIHDA-785|SIG-NIHDA-401|SIG-NIHDA-2062,1.0,0.5,1,0.5,0.9732868700739296,0.5210935866666666,1.163593648,0.6098801699999999,0.6425000613333334,0.08878658333333334,2.2329840124175777,1.1703851008823265
S012,three_singleton_scaffolds,4,SIG-NIHDA-785|SIG-NIHDA-2062|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.5210935866666666,1.163593648,0.753557034,0.6425000613333334,0.23246344733333335,2.2329840124175777,1.4461069053264624
S012,three_singleton_scaffolds,5,SIG-NIHDA-2062|SIG-NIHDA-401|SIG-NIHDA-785,0.0,0.5,3,-0.5,0.6821533384439402,0.5210935866666667,0.34352042,0.199843556,-0.17757316666666673,-0.3212500306666667,0.659229798235347,0.3835079937912112
S012,three_singleton_scaffolds,6,SIG-NIHDA-2062|SIG-NIHDA-785|SIG-NIHDA-401,0.0,1.0,2,0.5,0.785102551475416,0.5210935866666666,0.34352042,0.753557034,-0.17757316666666662,0.23246344733333335,0.6592297982353471,1.4461069053264624
S013,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-785|SIG-NIHDA-2063,0.0,0.5,2,-0.5,0.678593452466299,0.4917193796666666,0.056166692,0.6098801699999999,-0.4355526876666666,0.11816079033333332,0.11422509325964544,1.2403012677951268
S013,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2063|SIG-NIHDA-785,0.0,0.5,3,-1.0,0.5906953636331583,0.4917193796666666,0.056166692,0.1557822455,-0.4355526876666666,-0.3359371341666666,0.11422509325964544,0.31681127883469584
S013,three_singleton_scaffolds,3,SIG-NIHDA-785|SIG-NIHDA-401|SIG-NIHDA-2063,1.0,0.5,1,0.5,0.9807177784828095,0.4917193796666666,1.163593648,0.6098801699999999,0.6718742683333334,0.11816079033333332,2.3663774423306085,1.2403012677951268
S013,three_singleton_scaffolds,4,SIG-NIHDA-785|SIG-NIHDA-2063|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.4917193796666666,1.163593648,0.7094957235,0.6718742683333334,0.21777634383333339,2.3663774423306085,1.4428874533701774
S013,three_singleton_scaffolds,5,SIG-NIHDA-2063|SIG-NIHDA-401|SIG-NIHDA-785,0.0,0.5,3,-0.5,0.6450488933154341,0.4917193796666666,0.255397799,0.1557822455,-0.23632158066666664,-0.3359371341666666,0.5193974644097462,0.31681127883469584
S013,three_singleton_scaffolds,6,SIG-NIHDA-2063|SIG-NIHDA-785|SIG-NIHDA-401,0.0,1.0,2,0.5,0.7522292036657654,0.4917193796666666,0.255397799,0.7094957235,-0.23632158066666664,0.21777634383333339,0.5193974644097462,1.4428874533701774
S014,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-785|SIG-NIHDA-2064,0.0,1.0,2,0.5,0.6630702503961998,0.41594414833333326,0.056166692,0.6098801699999999,-0.35977745633333325,0.19393602166666668,0.13503421607217467,1.4662549586134541
S014,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2064|SIG-NIHDA-785,0.0,0.5,3,-0.5,0.5405101911063073,0.4159441483333333,0.056166692,0.0421193985,-0.3597774563333333,-0.3738247498333333,0.13503421607217467,0.10126214942263342
